################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2          4   0.0000000000000000E+00   1.2975382849888226E-01   1.1658964163050635E-02   1.8054719604585299E-02
         2          5   0.0000000000000000E+00   3.9785210758446976E-01   4.9309779722118870E-02   2.4400514156511840E-02
         2          6   0.0000000000000000E+00   4.0340325822650992E-02   2.9201526924064703E-03   4.6820584200300917E-03
         2          7   0.0000000000000000E+00   9.7455023041032388E-02   4.1471614055129356E-03   7.5754623202330907E-03
         2          8   0.0000000000000000E+00   1.4936115325901608E-01   8.7326591218481759E-03   5.7809467535169514E-03
         2          9   0.0000000000000000E+00   1.8609503593758794E+00   2.2555266589355169E-01   3.1891086400877366E-01
         2         10   7.9136993376902279E-03   5.3829367099614611E+00   1.6918042992824369E+00   5.7842918464756832E-01
         2         11   0.0000000000000000E+00   2.6712995405998692E+00   1.9668665915495798E-01   2.7336879038383738E-01
         2         12   7.9991969916885591E-02   6.3931835510341148E+00   2.1958703293158139E+00   7.1205132996568099E-01
         2         13   0.0000000000000000E+00   2.5732383333584536E+00   3.5840174993233070E-01   4.9181877744718522E-01
         2         14   1.7868929598630338E-02   7.7812858996853400E+00   2.6522155401550527E+00   8.6571619302976843E-01
         2         15   0.0000000000000000E+00   3.5793493195999422E+00   2.9965447811929574E-01   3.9296395690695873E-01
         2         16   0.0000000000000000E+00   6.8113354525680603E-01   1.0227559688321942E-01   1.3686122740903167E-01
         2         17   6.8120149953229001E-02   2.1922643836032059E+00   7.4600712542925829E-01   2.4225804587392025E-01
         2         18   0.0000000000000000E+00   1.0318285694362168E+00   8.7702360158956494E-02   1.1517053546734426E-01
         2         19   0.0000000000000000E+00   6.2960186779574192E+00   8.3718400039054364E-01   1.1359538598933958E+00
         2         20   2.0540649781880238E-01   1.8616774919550309E+01   6.2270388970432045E+00   2.0411898975771172E+00
